Date,ACCNO,Cust State,Cust Pin,DPD
08-03-2024,922624X393,WEST BENGAL,731234,81
08-03-2024,922693828,WEST BENGAL,733202,11
08-03-2024,922689X48,WEST BENGAL,721301,79
08-03-2024,9226226446,WEST BENGAL,741154,28
08-03-2024,9226229869,WEST BENGAL,735204,81
08-03-2024,922624336,JHARKHAND,816108,24
08-03-2024,9226922694,WEST BENGAL,732139,78
08-03-2024,9226262866,JHARKHAND,816101,43
08-03-2024,9226243624X,WEST BENGAL,736135,44
08-03-2024,922628676,WEST BENGAL,713430,28
08-03-2024,922623243,WEST BENGAL,700014,35
08-03-2024,9226X68X4,JHARKHAND,816101,54
08-03-2024,9226X236633,WEST BENGAL,735302,78
08-03-2024,92262434999,WEST BENGAL,736160,84
08-03-2024,9226X239X7,WEST BENGAL,741101,39
08-03-2024,922626X66,JHARKHAND,816108,83
08-03-2024,922689264,WEST BENGAL,741101,49
08-03-2024,9226923,JHARKHAND,816108,16
08-03-2024,9226232988,WEST BENGAL,700137,67
08-03-2024,92363986X,WEST BENGAL,700102,89
08-03-2024,923628848,WEST BENGAL,734006,49
08-03-2024,92362X29,WEST BENGAL,712311,90
08-03-2024,9226364XXX,WEST BENGAL,700014,37
08-03-2024,92269999,WEST BENGAL,736133,6
08-03-2024,92363892496,WEST BENGAL,712222,16
08-03-2024,9236382443,WEST BENGAL,743273,47
08-03-2024,92362947X7,WEST BENGAL,700018,71
08-03-2024,9226327X38,MAHARASHTRA,400607,41
08-03-2024,9236494,WEST BENGAL,743363,17
08-03-2024,922623429X3,WEST BENGAL,700048,43
08-03-2024,92368X64,WEST BENGAL,700001,46
08-03-2024,9236298,WEST BENGAL,736121,55
08-03-2024,9236387693X,WEST BENGAL,721440,26
08-03-2024,9236379398,WEST BENGAL,736159,60
08-03-2024,9226X48X,JHARKHAND,816108,66
08-03-2024,92264999X4,WEST BENGAL,735212,45
08-03-2024,92263642XX3,WEST BENGAL,712222,49
08-03-2024,9226X384,JHARKHAND,816108,74
08-03-2024,9236386X463,WEST BENGAL,732128,40
08-03-2024,9236387884,WEST BENGAL,721304,25
08-03-2024,9236379X8X4,BIHAR,854315,16
08-03-2024,9236383897X,WEST BENGAL,723101,64
08-03-2024,9226449,WEST BENGAL,736101,32
08-03-2024,9236266797,WEST BENGAL,734006,50
08-03-2024,92362348X67,WEST BENGAL,722138,58
08-03-2024,9226X9787,WEST BENGAL,742138,7
08-03-2024,9226XX7X9,WEST BENGAL,742122,4
08-03-2024,922649986XX,WEST BENGAL,721513,19
08-03-2024,92362X2877,WEST BENGAL,700036,45
08-03-2024,922336782XX,WEST BENGAL,712411,41
08-03-2024,9236499X2382,WEST BENGAL,711202,84
08-03-2024,9236X86843X,WEST BENGAL,721301,46
08-03-2024,9226329X6X,WEST BENGAL,742213,62
08-03-2024,9226X28X769,WEST BENGAL,732103,45
08-03-2024,9236X292X,WEST BENGAL,700024,26
08-03-2024,922649683469,WEST BENGAL,742101,32
08-03-2024,9226X922334,WEST BENGAL,734429,31
08-03-2024,92263224676,WEST BENGAL,742133,11
08-03-2024,9236X4996,WEST BENGAL,700024,87
08-03-2024,92X67X4323,WEST BENGAL,742101,2
08-03-2024,9236X2998,WEST BENGAL,700024,12
08-03-2024,92362487,WEST BENGAL,722168,49
08-03-2024,92264984X74,WEST BENGAL,723133,40
08-03-2024,92364992768,WEST BENGAL,734001,55
08-03-2024,9236974364,WEST BENGAL,733156,19
08-03-2024,9236X6476,WEST BENGAL,700006,9
08-03-2024,9236337327,WEST BENGAL,700014,30
08-03-2024,923639X7X9,WEST BENGAL,700074,73
08-03-2024,9236X338X3,WEST BENGAL,734429,88
08-03-2024,92362X87,WEST BENGAL,735134,41
08-03-2024,92366X94,JHARKHAND,816108,58
08-03-2024,923643429,WEST BENGAL,700075,23
08-03-2024,9236X27X,WEST BENGAL,712138,48
08-03-2024,923622X7,WEST BENGAL,712148,85
08-03-2024,9236X3X7X8,WEST BENGAL,712202,89
08-03-2024,9236867477,WEST BENGAL,700006,47
08-03-2024,9236238734,JHARKHAND,816108,53
08-03-2024,923629382,WEST BENGAL,700014,9
08-03-2024,92363X298,WEST BENGAL,700002,47
08-03-2024,92363964847,WEST BENGAL,733209,36
08-03-2024,9236286239X,JHARKHAND,816108,57
08-03-2024,92266494X,WEST BENGAL,736134,62
08-03-2024,9226694,WEST BENGAL,742135,7
08-03-2024,9226349XX64,WEST BENGAL,700157,78
08-03-2024,92363626X6,WEST BENGAL,700135,76
08-03-2024,92363X4X727,WEST BENGAL,734001,62
08-03-2024,92362386X2,JHARKHAND,816101,9
08-03-2024,92269832,WEST BENGAL,742135,29
08-03-2024,9226639396,WEST BENGAL,731237,58
08-03-2024,9236XX4277,WEST BENGAL,743609,64
08-03-2024,922639X,WEST BENGAL,700146,78
08-03-2024,9236X46388,WEST BENGAL,735135,55
08-03-2024,92263298868,WEST BENGAL,736135,49
08-03-2024,9226XX76382,WEST BENGAL,700020,57
08-03-2024,9226274267,WEST BENGAL,722101,71
08-03-2024,9236X74X899,WEST BENGAL,700019,60
08-03-2024,923666X36,WEST BENGAL,700058,27
08-03-2024,923689X39,WEST BENGAL,712125,75
08-03-2024,923634X62,WEST BENGAL,700029,8
08-03-2024,922348264293,WEST BENGAL,742212,42
08-03-2024,9X8683939X2,CHHATTISGARH ,491441 ,33
10-03-2024,9223X2323,MADHYA PRADESH,452001,49
10-03-2024,92262X73XX,MADHYA PRADESH,473335,71
10-03-2024,92364433489,MADHYA PRADESH,466118,88
10-03-2024,9236399474,MADHYA PRADESH,466114,46
10-03-2024,9226227X88,MADHYA PRADESH,466116,80
10-03-2024,923636X23,MADHYA PRADESH,454446,61
10-03-2024,92363993X9X,MADHYA PRADESH,451225,62
10-03-2024,9236349X72,MADHYA PRADESH,451551,31
10-03-2024,92232498328,MADHYA PRADESH,460440,10
10-03-2024,923648847,MADHYA PRADESH,460330,38
10-03-2024,922637264X,MADHYA PRADESH,464661,84
10-03-2024,9223433X82,MADHYA PRADESH,477001,24
10-03-2024,92364363X,MADHYA PRADESH,477332,87
10-03-2024,923644X3689,MADHYA PRADESH,477001,16
10-03-2024,9236383X,MADHYA PRADESH,462047,31
10-03-2024,92363762997,MADHYA PRADESH,462030,75
10-03-2024,9223284668,MADHYA PRADESH,452001,66
10-03-2024,92239964338,MADHYA PRADESH,473443,74
10-03-2024,92263622973,GUJARAT,396191,18
